,agency,slot,size,min,max,50-p,50-r,75-p,75-r,85-p,85-r,90-p,90-r,95-p,95-r,96-p,96-r,97-p,97-r,98-p,98-r,99-p,99-r,100-p,100-r
0,34003-2,D,1682,2.0,26084.0,912.0,841,1790.0,421,1843.0,253,2707.0,169,3612.0,85,3864.0,68,4513.0,51,5409.0,34,7172.0,17,26084.0,0
1,34003-2,N,1467,126.0,18903.0,938.0,734,2673.0,367,3599.0,221,4503.0,147,6722.0,74,8081.0,59,8971.0,45,10780.0,30,12604.0,15,18903.0,0
2,34003-2,W,1065,131.0,18568.0,950.0,533,2696.0,267,3606.0,160,4503.0,107,5444.0,54,6316.0,43,7213.0,32,8540.0,22,11709.0,11,18568.0,0
3,34003-3,D,763,2.0,71079.0,990.0,382,3603.0,191,6297.0,115,8987.0,77,15324.0,39,19805.0,31,23395.0,23,27892.0,16,38658.0,8,71079.0,0
4,34003-3,N,682,2.0,41398.0,1765.0,341,5336.0,171,8100.0,103,9944.0,69,14385.0,35,15305.0,28,17940.0,21,20712.0,14,25210.0,7,41398.0,0
5,34003-3,W,409,105.0,53107.0,1813.0,205,6324.0,103,11691.0,62,14423.0,41,22505.0,21,26993.0,17,30571.0,13,33313.0,9,36957.0,5,53107.0,0
6,34003-4,D,122,647.0,78324.0,7190.0,61,36730.0,31,48590.0,19,54008.0,13,61198.0,7,64808.0,5,67520.0,4,76502.0,3,78298.0,2,78324.0,0
7,34003-4,N,179,144.0,86561.0,7067.0,90,24476.0,45,33304.0,27,73717.0,18,86371.0,9,86377.0,8,86404.0,6,86419.0,4,86472.0,2,86561.0,0
8,34003-4,W,73,816.0,86448.0,25205.0,37,40498.0,19,65759.0,11,85493.0,8,86405.0,4,86426.0,3,86426.0,3,86430.0,2,86448.0,1,86448.0,0
9,34003-5,D,582,2.0,72921.0,1815.0,291,5401.0,146,8361.0,88,13197.0,59,26138.0,30,33276.0,24,40527.0,18,51713.0,12,60294.0,6,72921.0,0
10,34003-5,N,291,692.0,53319.0,2694.0,146,9967.0,73,15233.0,44,20942.0,30,33299.0,15,36928.0,12,38690.0,9,41430.0,6,48600.0,3,53319.0,0
11,34003-5,W,269,197.0,71982.0,3597.0,135,10824.0,68,16878.0,41,21561.0,27,35101.0,14,37733.0,11,41596.0,9,44981.0,6,69308.0,3,71982.0,0
12,34003-6,D,590,2.0,199631.0,1816.0,295,4549.0,148,7292.0,89,9024.0,59,14411.0,30,17057.0,24,22484.0,18,28827.0,12,38742.0,6,199631.0,0
13,34003-6,N,462,2.0,58542.0,2675.0,231,6294.0,116,13482.0,70,18841.0,47,27003.0,24,30587.0,19,36018.0,14,39586.0,10,42282.0,5,58542.0,0
14,34003-6,W,261,670.0,71134.0,3614.0,131,9913.0,66,18041.0,40,23418.0,27,31522.0,14,38650.0,11,40515.0,8,42284.0,6,53175.0,3,71134.0,0
15,34003-7,D,508,2.0,36019.0,1780.0,254,5473.0,127,9892.0,77,12596.0,51,17590.0,26,19202.0,21,20213.0,16,22139.0,11,29698.0,6,36019.0,0
16,34003-7,N,448,304.0,86483.0,1793.0,224,9023.0,112,17067.0,68,22466.0,45,32851.0,23,34656.0,18,37310.0,14,43523.0,9,48513.0,5,86483.0,0
17,34003-7,W,203,288.0,81584.0,4017.0,102,15290.0,51,25706.0,31,31038.0,21,34690.0,11,37382.0,9,46293.0,7,59797.0,5,79583.0,3,81584.0,0
18,34003-8,D,547,101.0,1179023.0,1801.0,274,4486.0,137,6302.0,83,8087.0,55,13497.0,28,16199.0,22,17904.0,17,20594.0,11,26003.0,6,1179023.0,0
19,34003-8,N,425,93.0,275405.0,2712.0,213,7192.0,107,10812.0,64,13482.0,43,18993.0,22,21581.0,17,26207.0,13,33297.0,9,41401.0,5,275405.0,0
20,34003-8,W,246,765.0,86406.0,3602.0,123,9887.0,62,14406.0,37,17870.0,25,21507.0,13,23276.0,10,27901.0,8,35978.0,5,39606.0,3,86406.0,0
21,34003-9,D,640,485.0,43592.0,1793.0,320,4566.0,160,8149.0,96,11711.0,64,21626.0,32,23802.0,26,27024.0,20,27853.0,13,32301.0,7,43592.0,0
22,34003-9,N,467,198.0,60765.0,2733.0,234,8517.0,117,12609.0,71,15684.0,47,21073.0,24,22066.0,19,22849.0,15,24227.0,10,28327.0,5,60765.0,0
23,34003-9,W,315,534.0,45006.0,4441.0,158,9909.0,79,13402.0,48,17995.0,32,24715.0,16,26158.0,13,29221.0,10,31520.0,7,39554.0,4,45006.0,0
24,34003-10,D,726,1.0,71923.0,1223.0,363,3607.0,182,6569.0,109,9016.0,73,17097.0,37,24336.0,30,32511.0,22,40264.0,15,45918.0,8,71923.0,0
25,34003-10,N,339,794.0,54906.0,2713.0,170,9007.0,85,13818.0,51,20694.0,34,28843.0,17,31367.0,14,34148.0,11,36893.0,7,44980.0,4,54906.0,0
26,34003-10,W,257,115.0,80082.0,3603.0,129,10254.0,65,14451.0,39,23672.0,26,37585.0,13,42265.0,11,48599.0,8,50396.0,6,57607.0,3,80082.0,0
27,34003-11,D,1702,1.0,15352.0,921.0,851,1736.0,426,1858.0,256,2702.0,171,3657.0,86,4460.0,69,4547.0,52,5493.0,35,7292.0,18,15352.0,0
28,34003-11,N,1763,2.0,23600.0,936.0,882,1819.0,441,2732.0,265,3630.0,177,5419.0,89,6289.0,71,6648.0,53,8159.0,36,9972.0,18,23600.0,0
29,34003-11,W,1119,43.0,20694.0,977.0,560,2665.0,280,3563.0,168,4471.0,112,6270.0,56,6387.0,45,7245.0,34,8170.0,23,10019.0,12,20694.0,0
30,34003-12,D,2344,1.0,9039.0,903.0,1172,933.0,586,955.0,352,1021.0,235,1806.0,118,1825.0,94,1850.0,71,2658.0,47,2733.0,24,9039.0,0
31,34003-12,N,2798,2.0,15304.0,903.0,1399,936.0,700,1743.0,420,1808.0,280,2702.0,140,2727.0,112,3586.0,84,4457.0,56,5408.0,28,15304.0,0
32,34003-12,W,1802,15.0,9036.0,906.0,901,947.0,451,1801.0,271,1851.0,181,2742.0,91,3555.0,73,3611.0,55,4501.0,37,5420.0,19,9036.0,0
33,34003-13,D,1643,2.0,40507.0,914.0,822,1774.0,411,1839.0,247,2696.0,165,3662.0,83,4489.0,66,4557.0,50,6287.0,33,14403.0,17,40507.0,0
34,34003-13,N,1803,2.0,29730.0,910.0,902,1781.0,451,2664.0,271,3593.0,181,5429.0,91,6309.0,73,8086.0,55,9037.0,37,10824.0,19,29730.0,0
35,34003-13,W,771,2.0,28843.0,948.0,386,2740.0,193,5369.0,116,6308.0,78,9872.0,39,10818.0,31,12668.0,24,18893.0,16,23418.0,8,28843.0,0
36,34003-14,D,1653,2.0,28690.0,906.0,827,969.0,414,1791.0,248,2651.0,166,5389.0,83,5409.0,67,5430.0,50,5657.0,34,7309.0,17,28690.0,0
37,34003-14,N,1479,2.0,21607.0,923.0,740,1884.0,370,4356.0,222,5406.0,148,7188.0,74,7646.0,60,8971.0,45,9909.0,30,13486.0,15,21607.0,0
38,34003-14,W,1096,30.0,17111.0,928.0,548,1960.0,274,3642.0,165,5389.0,110,6284.0,55,6994.0,44,8095.0,33,9857.0,22,10523.0,11,17111.0,0
39,34003-15,D,1680,3.0,73607.0,909.0,840,1762.0,420,1851.0,252,2704.0,168,3628.0,84,4446.0,68,4549.0,51,6242.0,34,7260.0,17,73607.0,0
40,34003-15,N,1636,2.0,38687.0,920.0,818,1825.0,409,2715.0,246,3610.0,164,5407.0,82,6297.0,66,7195.0,50,8108.0,33,10815.0,17,38687.0,0
